MP,predicted_category
Alex Yam,education
Amrin Amin,education
Amrin Amin,military
Ang Hin Kee,employment
Ang Wei Neng,transportation
Anthea Ong,education
Anthea Ong,healthcare
Arasu Duraisamy,employment
Azmoon Ahmad,employment
Baey Yam Keng,military
Cedric Foo Chee Keng,military
Charles Chong,housing
Chen Show Mao,employment
Chia Yong Yong,education
Chia Yong Yong,healthcare
Chia Yong Yong,housing
Chong Kee Hiong,employment
Christopher,education
Daniel Goh Pei Siong,employment
Darryl David,healthcare
Denise Phua Lay Peng,education
Dennis Tan Lip Fong,transportation
"Dennis Tan, Dennis Tan Lip Fong",healthcare
Desmond Choo,employment
Douglas Foo,employment
Douglas Foo,healthcare
Douglas Foo,housing
Dr Muhammad Faishal Ibrahim,education
Dr Yaacob Ibrahim,healthcare
Edwin Tong Chun Fai,education
Fatimah Lateef,healthcare
Foo Mee Har,employment
Gan Thiam Poh,education
Ganesh Rajaram,healthcare
Intan Azura Mokhtar,employment
Irene Quay Siew Ching,healthcare
Jessica Tan Soon Neo,employment
Joan Pereira,healthcare
Kok Heng Leun,employment
Kwek Hian Chuan Henry,housing
Lee Bee Wah,transportation
Lee Yi Shyan,transportation
Leon Perera,education
Liang Eng Hwa,transportation
Lily Neo,education
Lily Neo,healthcare
Lim Biow Chuan,employment
Lim Sun Sun,healthcare
Lim Swee Say,employment
Lim Wee Kiak,education
Louis Ng Kok Kwang,education
Low Thia Khiang,housing
Mahdev Mohan,housing
Melvin Yong Yik Chye,employment
Mohamed Irshad,healthcare
Muhamad Faisal Bin Abdul Manap,employment
Murali Pillai,employment
Ong Teng Koon,employment
Ong Ye Kung,housing
Patrick Tay Teck Guan,employment
Png Eng Huat,housing
Pritam Singh,housing
Rahayu Mahzam,education
Randolph Tan,employment
Saktiandi Supaat,employment
Seah Kian Peng,education
Sitoh Yih Pin,transportation
Sun Xueling,education
Sun Xueling,healthcare
Sun Xueling,transportation
Sylvia Lim,education
Tan Wu Meng,housing
Teo Ho Pin,healthcare
Teo Ho Pin,military
Teo Ser Luck,education
Teo Ser Luck,military
Terence Ho Wee San,healthcare
Tin Pei Ling,education
Vikram Nair,education
Vikram Nair,military
Walter Theseira,employment
Yaacob Ibrahim,employment
Yee Chia Hsing,transportation
Yip Pin Xiu,healthcare
Zainal Sapari,employment
Zaqy Mohamad,transportation
